Species (Common Name),Sightings
Common Bottlenose Dolphin,81
North Atlantic Right Whale,22
Short-finned Pilot Whale,17
Atlantic Spotted Dolphin,16
Pantropical Spotted Dolphin,6
Humpback Whale,4
Pantropical Spotted Dolphin,4
False Killer Whale,2
Risso’s Dolphin,2
Spinner Dolphin,2
Bottlenose Dolphin,1
Dwarf Sperm Whale,1
Fraser’s Dolphin,1
Gulf Stream Beaked Whale,1
North Atlantic Humpback Whale,1
Orca,1
Pygmy Sperm Whale,1
